title,author,date,link,push_count
[情報] HiATM 2023年上半年活動,sin70,1/01,https://www.ptt.cc/bbs/Bank_Service/M.1672506880.A.7C0.html,18
Re: [心得] 美國滙豐HSBC US開戶成功,ce0336ce,1/01,https://www.ptt.cc/bbs/Bank_Service/M.1672509247.A.115.html,1
[問題] 請問300萬要定存or活存 哪個比較好?,endurance,1/01,https://www.ptt.cc/bbs/Bank_Service/M.1672534650.A.36B.html,13
[情報] 中信My Way 112年Q1優惠,WOWDTDT,1/01,https://www.ptt.cc/bbs/Bank_Service/M.1672538049.A.A9B.html,28
[情報] 郵政數帳最多禮，贈送1000元電子券,conk,1/01,https://www.ptt.cc/bbs/Bank_Service/M.1672546162.A.575.html,6
[情報] 日盛網銀約轉終身免手續費確定不保GG惹！,TZUYIC,1/01,https://www.ptt.cc/bbs/Bank_Service/M.1672554916.A.38D.html,24
[情報] 2023/2/1起，合作金庫調降OTP非約轉額度,TZUYIC,1/01,https://www.ptt.cc/bbs/Bank_Service/M.1672563647.A.A4D.html,4
[公告] m180 水桶一個月,crazyghost,1/02,https://www.ptt.cc/bbs/Bank_Service/M.1672591582.A.F13.html,8
[問題]美金定存選擇,c2332572,1/02,https://www.ptt.cc/bbs/Bank_Service/M.1672631202.A.548.html,
[問題] 第一銀行ILEO 夢想帳戶,louice,1/02,https://www.ptt.cc/bbs/Bank_Service/M.1672647301.A.F1A.html,7
[新聞] 新加坡、台灣純網銀 生意都難做,ykkdc,1/02,https://www.ptt.cc/bbs/Bank_Service/M.1672649016.A.07C.html,8
[新聞] 財務資優生！純網銀樂天銀2年內免增資,ykkdc,1/02,https://www.ptt.cc/bbs/Bank_Service/M.1672649249.A.D1B.html,9
Re: [情報] 原HSBC Direct 跨行優惠延續加碼,ho1030,1/02,https://www.ptt.cc/bbs/Bank_Service/M.1672671621.A.FFE.html,3
[情報] 2023年學生開數位帳戶優惠總整理,sunny6041tw,1/03,https://www.ptt.cc/bbs/Bank_Service/M.1672709093.A.619.html,5
[情報] 新光112年~6月30日OU台幣帳戶最高享2.275%,ykkdc,1/03,https://www.ptt.cc/bbs/Bank_Service/M.1672711557.A.118.html,44
[情報] 新光銀行會員任務活動 50點LP+抽獎,h67568611,1/03,https://www.ptt.cc/bbs/Bank_Service/M.1672715047.A.B8A.html,23
[問題] 台新Richart轉帳權限(已解決,babymi1122,1/03,https://www.ptt.cc/bbs/Bank_Service/M.1672722388.A.CCB.html,3
[問題] 如何取得新光OU數位帳戶的登入帳號和密碼,dream548393,1/03,https://www.ptt.cc/bbs/Bank_Service/M.1672734878.A.B69.html,3
[情報] 台新ATM 2023/1/9-1/31 新春抽抽樂,TZUYIC,1/03,https://www.ptt.cc/bbs/Bank_Service/M.1672734969.A.EFB.html,19
[問題]  出國帳戶選擇,steven00012,1/03,https://www.ptt.cc/bbs/Bank_Service/M.1672736250.A.A60.html,8
Re: [情報] 新光銀行活利加碼V 1.6%優惠活存到12/31,breaststroke,1/03,https://www.ptt.cc/bbs/Bank_Service/M.1672738022.A.886.html,21
[情報] 新光基密任務綁定LINE/測驗/做問卷送LP60,TZUYIC,1/03,https://www.ptt.cc/bbs/Bank_Service/M.1672738798.A.EC4.html,29
[情報] 新開戶臺銀數位帳戶，綁台灣PAY送紅利點,kurtman,1/03,https://www.ptt.cc/bbs/Bank_Service/M.1672738833.A.2C6.html,22
[新聞] 不堪燒錢搶客 純網銀大砍優惠,ykkdc,1/03,https://www.ptt.cc/bbs/Bank_Service/M.1672740211.A.E30.html,14
[問題] 華南SnY轉一般戶一定要領存摺?(結論:Y...,Qmmnmmnmmnmm,1/03,https://www.ptt.cc/bbs/Bank_Service/M.1672758357.A.792.html,17
Re: [情報] 台新ATM 2023/1/9-1/31 新春抽抽樂,jiannfcu,1/04,https://www.ptt.cc/bbs/Bank_Service/M.1672766827.A.BFB.html,4
[問題] 一卡通Money 無法儲值,o3208,1/04,https://www.ptt.cc/bbs/Bank_Service/M.1672770650.A.1C5.html,6
[情報] Line Bank 6~12個月專案加碼利率定期存款,ykkdc,1/04,https://www.ptt.cc/bbs/Bank_Service/M.1672803839.A.E53.html,44
