type,title,author,content,date,push_tag,original_title
article,caserchen (cc),caserchen (cc),: 看來銀行根本最大詐騙....QQ,Fri Jan 24 21:29:42 2025,,Re: [閒聊] 中信開戶
comment,,my9005,: 如果金融卡還在，好像可以在ATM直接申請網路銀行,01/24 21:36,→,Re: [閒聊] 中信開戶
comment,,lf2net4589,: 開數位帳號然後臨櫃提權成實體帳戶,01/24 21:37,→,Re: [閒聊] 中信開戶
comment,,PitzMan,: 說要開戶存個百萬進去理財投資應該沒問題~,01/24 21:37,推,Re: [閒聊] 中信開戶
comment,,kevenshih,: 被釘久了沒辦法，現在很龜毛,01/24 21:42,推,Re: [閒聊] 中信開戶
comment,,Kazamatsuri,: 結清再重開呢？,01/24 21:42,→,Re: [閒聊] 中信開戶
comment,,temu2015,: 現在臨櫃提權也不太容易吧@@ 畢竟中信一天到晚在砍數帳,01/24 21:42,→,Re: [閒聊] 中信開戶
comment,,temu2015,: 額度,01/24 21:42,→,Re: [閒聊] 中信開戶
comment,,caserchen,: 金融卡早不見了 今天下午三點去大廳還是滿的,01/24 21:46,→,Re: [閒聊] 中信開戶
comment,,jimmyfk,": 先去券商銷戶或換扣款銀行, 之後再把中信證券戶轉一般戶",01/24 21:51,推,Re: [閒聊] 中信開戶
comment,,jimmyfk,": 中信是出了名的嚴, 所以沒事別銷戶, 沒強烈正當理由難開",01/24 21:53,→,Re: [閒聊] 中信開戶
comment,,PitzMan,: 中信每天一堆人要去開戶...,01/24 21:56,推,Re: [閒聊] 中信開戶
comment,,jdcbest,: 中信銀很嚴格+1,01/24 22:05,→,Re: [閒聊] 中信開戶
comment,,vgil,: 我連設自己的帳戶約轉都要嘰嘰歪歪的,01/24 22:11,推,Re: [閒聊] 中信開戶
comment,,daliares,: 二十幾年沒用的華南帳戶，金融卡還是老舊的無晶片的，,01/24 22:17,推,Re: [閒聊] 中信開戶
comment,,daliares,: 實體帳本早就消失不見了。去年臨櫃（非原開戶分行）重,01/24 22:17,→,Re: [閒聊] 中信開戶
comment,,daliares,: 啟帳號成功並加開數位帳戶，當時承辦行員沒多問什麼，,01/24 22:17,→,Re: [閒聊] 中信開戶
comment,,daliares,: 只問現職是什麼，參考看看。,01/24 22:17,→,Re: [閒聊] 中信開戶
comment,,tacitus,": 2023申訴到金管會&逐級到蔡總統,中信直接來電恐嚇,數帳NO",01/24 22:37,推,Re: [閒聊] 中信開戶
comment,,lee512011,: 別開中信的手續費比人家高,01/24 22:39,推,Re: [閒聊] 中信開戶
comment,,lee512011,: 中信證券不好用零股手續費低消也是$20,01/24 22:40,→,Re: [閒聊] 中信開戶
comment,,lee512011,: 建議用元大國泰等等都比他們家好得多,01/24 22:40,→,Re: [閒聊] 中信開戶
comment,,tacitus,": 半年以來主管都態度惡劣,最後我全家去銷戶,但保留信用卡",01/24 22:41,推,Re: [閒聊] 中信開戶
comment,,ptt8592,: 幫樓上QQ,01/24 22:46,推,Re: [閒聊] 中信開戶
comment,,tacitus,": 但中信分行地點好人員多,信用卡額度高,就是暴擋數帳!",01/24 22:50,推,Re: [閒聊] 中信開戶
